Naam deelnemende onderneming,straat en huisnummer,objectbeschrijving,Kolom2,Kolom22,Kolom3
Van Maanen Delft,Hippolytusbuurt 3,Feedback in real time over individueel gebruik van faciliteiten,"Waarom?
Slimme apparaten kunnen worden gebruikt voor het binnen en buiten volgen van mensen. 
Door gegevens van verschillende locaties te combineren met andere datasets kan feedback over het gebruik van faciliteiten worden verkregen waarmee het beheer van die faciliteiten kan worden verbeterd, 
en dat komt ook de gebruikerservaring ten goede.
Hoe?
Dit onderzoek is gericht op netwerkgebaseerde methoden (met wifi, bluetooth, enzovoort) voor het lokaliseren van mensen. Er wordt onderzoek gedaan naar toepassingen voor deze technologie en naar manieren om analyse in real time van verwerkte gegevens mogelijk te maken.
Wanneer?
De campus van de TU Delft is een levend laboratorium geweest voor de technologie. We maakten gebruik van de wifi-verbindingen van studenten en medewerkers voor de bestudering van de bezettingsgraad van de collegezalen, de looproutes over de campus, de wifi-capaciteit en dergelijke. 
","Why?
Connected devices can be used for indoor and outdoor tracking of people. Combining this individual location-based data with other datasets generates user feedback on facilities that benefits asset management as well as users.
How?
This research focusses on network-based (Wi-Fi, Bluetooth, etc.) methods to locate people. Applications for this technology and ways to enable real-time and post-processing sense making of data are investigated.
When?
TU Delft campus has been a living lab for the technology, using students’ and staff's Wi-Fi connections to study classroom occupation rates, routings over campus, Wi-Fi capacity, and more.
","Dr. Stefan van der Spek
Ir. Edward Verbree"
Rivendel,Choorstraat 14,3D print stadstructuur & huis opstelling waarin te zien is hoe geothermische energie werkt,"Door: 
Waarom?
Geothermische projecten vereisen grote kapitaalinvesteringen om de natuurlijke hulpbron te kunnen bereiken: heetwaterreservoirs diep onder de grond. Bij het nemen van beheerbeslissingen wordt in hoge mate vertrouwd op het modelleren van de reactieve stroming en het transport door de verschillende soorten rots.
Hoe?
We beschikken over unieke deskundigheid op het gebied van modellering en evaluatie van onzekerheden ten aanzien van heetwaterreservoirs. Bij geothermische energie kunnen we daardoor betere voorspellingen doen, de projectprestaties beter beheersen en de financiële risico's, de milieurisico's en de veiligheidsrisico's beter inschatten.
Wanneer?
Onze methode wordt toegepast bij het DAP (Delft Geothermal Project). Het doel is het leveren van energie aan het centrale verwarmingssysteem van de TU Delft en het verkrijgen van wetenschappelijke gegevens voor monitor- en onderzoeksdoeleinden.
","Why?
Geothermal projects demand high capital investments to reach their resource - deep subsurface hot water reservoirs. Management decisions thus rely heavily on modelling of reactive flow and transport through various types of rocks.
How?
We have a unique expertise on modelling and evaluation of reservoir uncertainties. Applied to geothermal energy, this provides better prediction, improves control of project performance, and indicates levels of financial, environmental and safety risks.
When?
Our approach is being applied in the Delft Geothermal Project (DAP). The goal is to deliver energy to the TU Delft central heating system and provide scientific data for monitoring and research purposes.


","Denis Voskov 
Mark Khait MSc 
Prof.dr. David Bruhn"
NOA NOA,Choorstraat 12,"Virtuele omgeving voor gezamenlijk onderzoek
","Waarom?
VRE's (Virtual Research Environments: virtuele onderzoeksomgevingen) zijn noodzakelijk voor een efficiënte samenwerking tussen verschillende wetenschappelijke disciplines bij het oplossen van maatschappelijke problemen. Bij de huidige VRE’s is sprake van tegenstrijdige gegevens, gebrekkige gebruikerservaring en onduidelijkheid over de geldigheid van gegevens in verschillende contexten.
Hoe?
Voor ons nieuwe prototype van een virtuele omgeving voor gezamenlijk onderzoek maken we gebruik van bestaande VRE-tools en gestandaardiseerde bouwstenen en workflows en ontwikkelen we innovatieve nieuwe tools, bouwstenen en workflows als dat nodig is. Dit zorgt voor een VRE die beter te gebruiken, te beheren en te implementeren is.
Wanneer?
De VRE wordt getest voor onderzoek in verschillende wetenschappelijke domeinen, waaronder de milieu- en aardwetenschappen (men denke bijvoorbeeld aan milieuvervuiling, klimaatverandering en aardbevingen), waarbij wordt voortgebouwd op 25 gevallen van echt gebruik.
","Why?
Virtual Research Environments (VREs) are required for efficient collaboration between scientific disciplines to solve societal challenges. Current VREs suffer from data heterogeneity, user experience issues, and data context issues.
How?
This novel collaborative VRE architecture and prototype integrate existing VRE tools, standardized building blocks and workflows where appropriate, and develops innovative new ones where needed. This results in improved VRE usability, interoperability and deployment.
When?
The VRE will be demonstrated for research in various scientific domains, including the environmental and earth science domain (e.g. environmental pollution, climate change, earthquakes), building on 25 real use cases.
","Dr. Anneke Zuiderwijk-van Eijk 
Yi Yin MSc"
Computers Vandaag,Vrouw Juttenland 5,GPU met 3d geprinte structuren,"Waarom?
Bij driedimensionaal printen zijn robuuste geometrische berekeningen van essentieel belang wanneer in de ontwerpfase en bij het genereren van het printerpad 
sprake is van een complexe geometrie. 
Deze nieuwe modelmaker is sneller, eenvoudiger en robuuster dan de huidige alternatieven.
Hoe?
Bij deze LDNI-gebaseerde methode (LDNI: Layered Depth-Normal Image: gelaagde afbeelding met normale diepte) wordt de geometrie niet expliciet gedefinieerd en berekend,
maar worden objecten gerepresenteerd in de vorm van een verzameling afbeeldingen. 
Met LDNI kunnen handelingen als offsetten en het ontwerpen van ondersteunende elementen bijna in real time worden uitgevoerd, terwijl dat voorheen uren kostte.
Wanneer?
Bij een aantal testcases is aangetoond dat de modelmaker robuust en effectief is. 
De opensource-modelmaker is klaar voor verdere integratie in diverse softwaresystemen voor ontwerp en vervaardiging.
","Why?
Robust geometric computation is essential to deal with the complex geometry in the design phase, and print path generation in, 3D printing. This new modeller is faster, simpler, and more robust as current alternatives.
How?
Instead of explicitly defining and computing geometry, this Layered Depth-Normal Image (LDNI) based method represents objects as a collection of images. With LDNI, operations like scaffolding and offsetting can be executed near real-time compared to hours.
When?
A number of test cases has demonstrated the robustness and effectiveness of the developed modeller. The open source solid modeller is ready to be further integrated into various computer-aided design and manufacturing software systems.
","Prof.dr. Charlie Wang
Dr. Jun Wu"
De Winkel,Vrouw Juttenland 39,Een met technische componenten gemaakte robot,Een met technische componenten gemaakte robot,"This ‘ROBOT’ was built from different parts that can be found in radios, TVs and computers.
TECHNOLOGY DOESN’T ALWAYS HAVE TO BE SERIOUS!","Studieverzameling 
Faculteit EWI/TUDelft"
Georg Jensen,Choorstraat 28,Klein muurtje van glazen bakstenen,"Glas breekbaar? Onzin, zo blijkt, want glas is onder druk juist ontzettend sterk. 
In het Stevin II laboratorium van de TU Delft doen promovendi en hoogleraren daarom als een van de weinige groepen ter wereld onderzoek naar glas als constructiemateriaal. 
De uitdaging: sterke en veilige constructies maken en toch de transparantie behouden. 
De Chanel winkel in Amsterdam heeft dankzij glasprofessor Rob Nijsse en z’n team zijn beroemde glazen gevel! 
Opgetrokken van gelijmde glazen bakstenen zoals je hier ziet.","Glass is breakable? Nonsense, so it seems: because the glass is under pressure, it’s actually incredibly strong.
For this reason, in the Stevin II laboratory at TU Delft, PhD candidates and professors are one of only groups in the world researching glass as a building material.
The challenge: make strong and safe structures while preserving transparency. 
The Chanel shop in Amsterdam has glass professor Rob Nijsse and his team to thank for its renowned glass façade! 
Built from bonded glass bricks as shown here.",Prof. Rob Nijsse
De Etalage Fabriek,Oude Kerkstraat 8,ADAM: Acoustics by parametric Design and Additive Manufacturing (akoestiek met parametrisch ontwerp en additieve vervaardiging),"Waarom?
Het effectief neutraliseren van ongewenste lage frequenties is lastig en beperkt de architecturale vrijheid. Met onze nieuwe methode maken we gebruik van passieve geluidsabsorptie. Deze methode biedt een oplossing die eenvoudig is aan te passen aan de omstandigheden.
Hoe?
Buizen die zijn opgenomen in een 3D geprinte structuur , zoals een gebogen paneel of een vrijstaande vorm, maken gebruik van passieve destructieve interferentie om een specifieke frequentieband te neutraliseren. Dat werkt zeer goed bij lagere frequenties (zware machines, vliegtuigen).
Wanneer?
De methode wordt getest bij drie gangbare toepassingen. Bij verdere opschaling is het ontwikkelen van ontwerpsoftware nodig die architecten in staat stelt om de technologie op eenvoudige wijze toe te passen.
","Why?
Cancelling out undesired low frequencies is hard to do effectively and limits architectual freedom. Our novel passive sound absorbing method offers an easily customisable solution.
How?
Tubes integrated in a 3D printed geometry such as a curved panel or freestanding form apply Passive Destructive Interference to cancel out a specific, tuneable, frequency band. It does so especially effective for lower frequency ranges (heavy machinery, airplanes).
When?
The method is being demonstrated in three typical application areas. Further scale up involves developing design software for easy application of the technology by architects.
","Ir. Foteini Setaki MSc
Prof. dr. ir. Arjan van Timmeren
Dr. ir. Martin Tenpierik
Dr. Michela Turrin March 
Dr. ir. Martin Tenpierik"
Xue Mei's arts & crafts,Vrouw Juttenland 21,Stuk zelfherstellend beton,"Bouwen met beton dat zichzelf kan herstellen?
Het lijkt een utopie, maar als het aan microbioloog en uitvinder Henk Jonkers van de TU Delft ligt is dit realiteit.
Hij ontwikkelde het bio-beton van de toekomst, waarbij hij zich liet inspireren door de natuur: beton met bacteriën. 
Deze kalksteen-producerende bacteriën kunnen ruim 200 jaar in beton kunnen overleven en zelf in actie komen als er schade optreedt.
Als er bijvoorbeeld barsten ontstaan door druk op het beton, worden deze vanzelf gedicht.","Concrete buildings that can repair themselves? It seems like science fiction, but if you ask microbiologist and inventor Henk Jonkers of TU Delft, it’s science fact.
He has developed the bio-concrete of the future, drawing inspiration from nature: concrete with bacteria. 
These limestone-producing bacteria can survive for over 200 years in concrete and even jump into action in response to damage. 
For instance, if concrete splits under pressure, it will seal itself.",Henk Jonkers
Boekhandel de Omslag,Wijnhaven 16,Draadloze e-bike oplader,"Waarom?
Het onderzoek is bedoeld om het gebruiksgemak van elektrische fietsen te vergroten, met name door het opladen van de fietsen eenvoudiger te maken met een draadloze oplaadtegel. 
Op die manier willen we het gebruik van de elektrische fiets bevorderen als alternatief voor de auto.
Hoe?
De tegel genereert een magnetisch veld waarmee de accu van de fiets wordt opgeladen via de aangepaste dubbele standaard. 
De tegel is volledig automatisch, vandalismebestendig en kan onzichtbaar worden geïntegreerd in de stedelijke ruimte.
Wanneer?
De technologie is klaar voor commerciële toepassingen. Het doel is de ontwikkeling van een pakket van minder dan 100 euro dat 
aan elke elektrische fiets kan worden toegevoegd om gebruik van het draadloze oplaadsysteem mogelijk te maken.
","Why?
In order to promote the use of e-bikes as alternative to cars, this research aims to increase the ease of using an e-bike. In particular, increasing the ease of charging an e-bike with a wireless charging tile.
How?
An e-bike’s modified double legged kickstand uses the magnetic field generated by the tile to charge its battery. The tile is fully automatic, vandalism proof and can be integrated invisibly in urban design.
When?
The technology is ready for commercial application. The aim is to develop a <100 euro kit that can be added to every e-bike to enable it to use the wireless charging system.
","Prof.dr. eng Pavol Bauer
Ir. Tim Velzeboer
Dr.ir. Peter van Duijsen
Dr.ing. Bart Roodenburg"
Instore conceptstore,Voldersgracht 18,Mesh Lingerie,"Met Mesh Lingerie wordt iedere vrouw een Muze. Wij maken lingerie op maat gebaseerd op je persoonlijke 3D body scan. 
De traditionele bh beugel wordt vervangen door een 3D geprint ondersteuningselement, gebaseerd op jouw lichaam. 
Overige maten die nodig zijn voor het textiele gedeelte worden ook uit de 3D body scan gehaald om zo de perfecte bh te creëren voor een volgende Mesh Muze. 
Mesh Lingerie is begonnen als afstudeerproject van Lidewij van Twillert. 
Ze zocht een project waarin haar visie naar voren zou komen: ""Ik denk dat een goed product of kledingstuk alleen kan bestaan wanneer vorm en functie één zijn.”
Door techniek te integreren in de wereld van mode, maakt zij met Mesh bh’s die mooi én comfortabel zijn. ","Mesh Lingerie turns every woman into a Muse by making her a custom fit bra based on a personal 3D bodyscan. Traditional underwires are replaced by 3D printed support elements. 
The name Mesh Lingerie finds its origin in the file format of 3D scans. Being 3D scanned by Mesh Lingerie will automatically turn a customer into a Mesh Muse. 
Mesh Lingerie started at Delft University of Technology and was founded by Dutch fashion design engineer Lidewij van Twillert. 
She thinks a good product or garment can only exist when form and function are one: By integrating technology we make bras that shape, support and have aesthetic qualities.",Lidewij van Twillert
O'Donna,Molslaan 12,Berg rode steentjes Rijn experimenten,"Rivieren meanderen van nature: ze maken een slingerende beweging door het landschap heen. In Nederland zie je dat niet zoveel meer.
Rivieren zijn rechter gemaakt  en er is door bedrijven ook veel zand van de rivierbodems afgegraven.  
De bodem is door dit soort ingrepen gezakt.  Gewoon zand en stenen toevoegen? Dat is door de stroming en beweging van het water te eenvoudig.  
We willen niet nog een keer verkeerd ingrijpen… 
Onderzoeker Victor Chavarrias meet wat er allemaal met verschillende formaten felgekleurde steentjes gebeurt, in een neprivier in het waterlab van  de TU Delft.  ","Rivers are meandering by nature: they twist and wind they way through the landscape. 
In the Netherlands, we don’t see this so much anymore. 
Rivers have been straightened out, and companies have also dredged a lot of sand out from river beds.  
This kind of activity has caused beds to sink.  Just add some sand and rocks?
Due to the flow and movement of the water, the answer isn’t so simple.  
We don’t want to cause more problems than we already have... Researcher Victor Chavarrias is measuring what all is happening with various sizes of brightly coloured pebbles in an artificial river in the water lab at TU Delft.  ",Victor Chavarrias
M. Edelsmeden & Design,Hippolytusbuurt 2,Ineengrijpende componenten van gegoten glas,"Waarom?
Ineengrijpende glazen bakstenen vormen esthetisch aantrekkelijke bouwcomponenten voor dragende constructies.
Ze zijn sterker dan beton en volledig transparant en kunnen gemakkelijk worden geplaatst en weggenomen (waardoor ze eenvoudig te recyclen zijn).
Hoe?
De ineengrijpende glazen bakstenen worden gestapeld met een droge, kleurloze tussenlaag ter compensatie van de toleranties in de afmetingen als gevolg van de productiemethode. 
Met gegoten glas zijn dikkere, complexere en sterkere componenten te maken dan met het gangbare floatglas.
Wanneer?
Met behulp van onderzoekend ontwerpen wordt de kennisbasis vergroot om het gebruik van glas in dragende elementen mogelijk te maken. 
De verkregen kennis (bijvoorbeeld ontwerpregels, productiemethoden en ontwerpsoftware) wordt gedeeld met zowel mensen uit de praktijk als de wetenschappelijke gemeenschap.
","Why?
Interlocking cast glass bricks form aesthetically pleasing, stronger than concrete, easy to assemble and disassemble (and thereby easy to recycle), fully transparent construction components for load-bearing structures.
How?
The interlocking bricks are stacked with a dry, colourless intermediate layer in between to account for size tolerances due to the production method. The casting enables thicker, more complex, and stronger components than the usual float glass.
When?
The knowledge base is being advanced by research through design to enable the application of glass in load-bearing elements. The resulting knowledge (e.g. design rules, production methods and design software), is shared with both practice and scientific community.
","Ir. Faidra Oikonomopoulo
Ir. Tlesilla Brisogianni
Ir. Lida Barou
Dr.ir. Fred Veer"
Steendam,Wijnhaven 20A-21,Raket,"Deze CanSat raket is gebouwd om meerdere CanSat satellieten (gebouwd door middelbare scholieren), naar een hoogte van ongeveer 1 kilometer te lanceren.
Op het hoogste punt worden alle cansats losgelaten, en komen ze met hun eigen parachute naar beneden. Tijdens de hele vlucht kunnen de middelbare scholieren allerlei metingen doen voor hun project. Het filmpje dat u hiernaast ziet geeft een overzicht van andere projecten waar binnen DARE aan wordt gewerkt.","The CanSat Laucher can carry several CanSats (Can-sized satellites built by high school students) at once to an altitude of about one kilometer. 
The CanSats are released at the highest point, after which they come down with their individual parachutes. 
The entire flight enables high-school students to perform a series of scientific measurements for their projects. 
The movie shows an overview of several other projects fulfilled within DARE.""",Dare
